nome,cpf,idade,data,endereco,estado
Breno Da Mota,33309393052,96.0,25/05/2050,colônia de vieira boa vista 67140-419 da cruz da mata / go,ES
Carolina Santos,67504286080,96.0,18/06/2047,"vila ramos, 30 buraco quente 94467661 ferreira / sc",PR
Luana Silva,35747742149,96.0,,,MT
Cauê Farias,86590659387,96.0,11/12/2030,"viela de oliveira, 8 vila coqueiral 72417-271 barros / sc",AC
Manuela Gomes,89314097072,86.0,05/11/1938,"favela de barros, 22 conjunto capitão eduardo 66192-911 caldeira / rs",PR
Raquel Campos,68233879586,86.0,05/08/1938,"via vitória farias, 9 aguas claras 45747-182 araújo de teixeira / ms",SC
André Freitas,41220916392,96.0,27/10/2046,ladeira alexia rodrigues vila madre gertrudes 4ª seção 76746-557 jesus / pr,MS
Maria Fernanda Araújo,97290672723,108.0,27/03/1917,"praça sophia ramos, 24 madri 74530520 gonçalves alegre / ro",MS
Pietro Pinto,38156296570,96.0,25/02/2026,"trevo melo, 36 horto florestal 47544-245 duarte / go",AC
Sophia Melo,16445068015,96.0,02/10/2029,"colônia de moura, 9 vila tirol 55038-862 da costa da serra / es",MT
Theo Mendes,99340105461,96.0,25/05/1903,"condomínio fernando castro, 327 conjunto providencia 72234041 martins de goiás / sc",RJ
Joana Peixoto,14388138250,96.0,08/03/2036,esplanada rodrigues vila madre gertrudes 1ª seção 76080706 correia / df,DF
Gabrielly Moreira,49737943019,110.0,27/10/1914,"aeroporto da luz, 15 alpes 42400785 farias do amparo / df",RO
Dra. Emanuella Nogueira,53548027715,96.0,13/12/2040,"trevo pietra da luz, 169 candelaria 32468-169 souza do galho / pa",AM
Caroline Rocha,19086540462,96.0,20/03/2044,"vale moraes, 43 parque são pedro 42987-282 carvalho / rj",BA
Dra. Ana Clara Da Luz,40575343803,96.0,09/02/2048,"estrada de ramos, 19 nossa senhora de fátima 94308-161 da rocha / es",MS
Sra. Ana Luiza Monteiro,65127112609,96.0,15/02/2040,"vereda alves, 908 lorena 16565242 fernandes paulista / df",PA
Pietro Da Mota,57149003663,96.0,11/08/2043,"condomínio rafael lopes, 63 são francisco das chagas 75392-642 freitas de goiás / to",CE
Marcelo Da Costa,59069986318,96.0,,,RR
Isabelly Da Cunha,45336013273,96.0,04/12/1901,"rodovia freitas, 30 bom jesus 27659375 jesus / es",SE
Catarina Fogaça,14178369402,96.0,12/04/2043,"colônia de da rocha, 51 santa lúcia 72607-931 santos / se",ES
Alexia Martins,59836923177,96.0,24/04/2044,"condomínio sales, 424 são jorge 3ª seção 84573-479 da luz / am",CE
Noah Alves,50856453825,81.0,22/04/1944,"ladeira martins, 57 vila nova gameleira 3ª seção 62818-166 barros das pedras / sc",AL
Sr. Cauã Lopes,89899111454,96.0,,,RR
Luiza Alves,25086643346,106.0,28/03/1919,"praça de barbosa, 6 jardim dos comerciarios 59739008 da rosa / sc",SE
Bernardo Da Cruz,79676278763,103.0,03/01/1922,"vale caio cardoso, 47 horto 41485-591 costela / al",AC
Danilo Farias,20810304009,96.0,04/03/2036,"morro azevedo, 31 maravilha 31087088 barbosa de barros / pa",DF
Camila Monteiro,58699045309,96.0,13/04/2029,"trevo de mendes, 68 monsenhor messias 03115505 moraes de silveira / es",GO
Alícia Da Cruz,85381045310,105.0,17/08/1919,"campo de santos, 56 vila independencia 1ª seção 49068-628 monteiro do campo / mg",AM
Erick Sales,79960419531,85.0,11/10/1939,"largo santos, 6 tirol 55064-281 dias de da rocha / rr",PI
Joaquim Mendes,80157054712,96.0,,,MA
Cauã Cavalcanti,44153582535,96.0,28/07/2047,"vila danilo moura, 853 sagrada família 65993603 teixeira / ap",PA
Vitor Hugo Da Luz,14287268108,108.0,24/06/1916,"núcleo de lima, 164 santa isabel 46642-641 da paz / go",TO
Dra. Luiza Moura,51472152265,96.0,19/06/2035,"conjunto ana júlia sales, 21 gameleira 41529-183 novaes de mendes / ap",SP
Igor Peixoto,77141854833,99.0,15/03/1926,"campo ian almeida, 29 califórnia 37236270 pereira / mt",MA
Camila Freitas,26234139544,96.0,18/01/2035,"colônia otávio pires, 33 vila piratininga venda nova 53817-794 gomes de porto / ms",TO
Stephany Correia,39572893407,86.0,09/06/1938,condomínio mendes santa rosa 39574-436 vieira / pb,MA
Emanuel Barros,55954082000,96.0,,,AP
Kaique Farias,68525701609,96.0,26/12/2047,condomínio moura conjunto providencia 09277337 da luz / ac,RJ
Sr. Pedro Henrique Da Mata,61543977519,96.0,,,AP
Rafael Lopes,14056499692,96.0,17/02/2029,"feira jesus, 61 novo santa cecilia 21966-062 carvalho / df",RR
Sr. Raul Novaes,67720292901,96.0,16/04/2042,"fazenda lima, 3 jardim vitoria 11355-245 rodrigues de aragão / pa",MT
Sra. Manuela Gonçalves,77208120672,96.0,02/04/2041,"ladeira maria cardoso, 92 colégio batista 36168677 melo de mendes / ce",PA
Emanuella Da Cunha,84348030373,90.0,09/11/1934,"vila ramos, 4 são jorge 2ª seção 15975849 peixoto / pb",MA
Isabelly Gomes,68840610362,96.0,07/07/2038,"via heloísa barbosa, 27 jardinópolis 48915-699 jesus das flores / pe",AM
Calebe Cardoso,11763489391,97.0,08/04/1928,"avenida augusto santos, 84 vila tirol 87143720 correia / se",SP
Pedro Lucas Mendes,46575145647,96.0,22/03/2044,"vereda de gonçalves, 82 santa amelia 39184588 silva / rj",PR
Julia Das Neves,65653471069,96.0,20/06/2040,"largo benício da luz, 98 canaa 56668-903 carvalho / sc",BA
Ian Mendes,31374864888,96.0,25/08/2034,"estrada oliveira, 201 marieta 1ª seção 06419-307 gomes das pedras / rn",MT
Yago Da Rosa,19839644240,96.0,12/10/2040,"área fernanda rezende, 37 havaí 96762481 da cruz da serra / ba",AP
Marcos Vinicius Campos,56811518307,96.0,16/06/2025,"rodovia de jesus, 64 ernesto nascimento 65984-241 nogueira / se",MG
Alícia Da Rosa,27489112718,96.0,01/12/2036,"lago de barros, 3 varzea da palma 78119-969 da paz do galho / pr",ES
Dr. Vitor Moura,27091942504,103.0,25/08/1921,"área silveira, 754 confisco 53554-634 ribeiro / ap",MG
Maria Luiza Viana,25277186272,96.0,26/12/2025,"viaduto de caldeira, 30 minas brasil 66214-387 duarte / am",MT
Nicolas Monteiro,59725668867,96.0,15/08/2044,"condomínio de melo, 759 heliopolis 15339-897 da paz alegre / es",SP
Noah Pinto,48355376339,96.0,,,RR
Francisco Cardoso,92966693814,96.0,02/03/2028,"rua ana luiza da mota, 6 alto dos pinheiros 56256-261 da mata do norte / se",MA
Davi Lucas Rezende,79781642118,96.0,,,SC
Natália Nogueira,44245708683,106.0,18/02/1919,loteamento nunes zilah sposito 25169823 da mata de minas / rj,TO
Lorena Dias,22972533029,98.0,03/05/1927,"parque emanuel fogaça, 7 colégio batista 51391618 silva do oeste / to",RJ
Dr. Vitor Moura,84928221939,96.0,05/12/2026,"largo moraes, 1 vila pinho 29106656 campos / ms",AM
Maria Vitória Nunes,16243996385,96.0,06/05/2033,estação mendes nossa senhora aparecida 33460571 moraes do oeste / ac,TO
Luiz Otávio Barbosa,90446241275,96.0,,,GO
Gabriela Mendes,32667111608,96.0,,,PB
Pedro Miguel Barros,52426766056,96.0,05/11/2026,"alameda ana vitória rodrigues, 508 são josé 06927-090 azevedo / ap",RS
Felipe Gomes,37762185783,96.0,05/11/2026,"rodovia de da rosa, 51 aeroporto 85869-312 viana / ce",PR
Emanuelly Lima,91812764003,96.0,15/08/2048,"campo castro, 2 barão homem de melo 1ª seção 25365195 cardoso do amparo / ce",TO
Caio Almeida,85434299523,96.0,25/08/2047,"praia moura, 20 fernão dias 31201-336 ramos grande / mt",ES
Gabrielly Aragão,37237672328,96.0,22/10/2041,"vale de costela, 123 vila maloca 57139-559 barbosa / ce",MG
Eduardo Teixeira,22650522847,96.0,22/09/2041,trecho maria sophia almeida milionario 12411-259 aragão / rj,RJ
Gabrielly Rodrigues,26162590528,77.0,05/10/1947,"área de novaes, 284 vila são dimas 54567373 martins do campo / pb",TO
Noah Viana,96053196855,96.0,12/02/2044,lago melo vila são dimas 49786805 gonçalves de da mota / pr,RN
Nina Campos,34449877526,103.0,20/03/1922,ladeira de moreira lourdes 94626-151 cardoso / go,ES
Dr. Miguel Rodrigues,11317977095,85.0,07/05/1939,"distrito de souza, 1 cidade nova 44439-183 cavalcanti grande / rs",RN
Sr. Vitor Hugo Azevedo,65821730972,96.0,16/07/2026,"largo yuri rocha, 80 vila são gabriel jacui 65743031 silva / al",SE
Murilo Mendes,69384369101,96.0,22/11/2032,"área farias, 36 nossa senhora aparecida 49841-451 souza / mt",DF
Lavínia Moraes,91847094142,96.0,07/11/2050,"aeroporto lima, 5 cenaculo 55473-038 cavalcanti do sul / ro",TO
Ana Laura Moreira,42375305441,99.0,26/12/1925,"conjunto castro, 33 vila batik 22703307 campos / rj",DF
Emanuella Moura,53904114022,79.0,27/03/1946,"vale de costa, 189 nova america 24535-349 lima de cavalcanti / se",MA
Calebe Costa,99532146370,96.0,02/07/2029,"estrada noah moreira, 6 vila do pombal 42807614 azevedo / ac",PI
Amanda Campos,68255057118,96.0,27/04/2048,"praça de silva, 99 vila nova 73787-956 da paz / sc",BA
Enzo Rezende,35018378980,87.0,03/05/1938,"praça stephany da mota, 61 maravilha 49408293 castro do galho / rs",RJ
João Vitor Lopes,60382454382,106.0,19/02/1919,"aeroporto de da cruz, 9 céu azul 14619-105 lima / sp",ES
Ana Ribeiro,76131325251,74.0,18/08/1950,"núcleo de campos, 327 vila formosa 15486-086 fogaça / sp",ES
Enrico Lopes,19280189013,96.0,13/05/2045,"feira eloah farias, 7 vila da luz 38285-777 da mota de silva / go",RN
Sr. Vicente Peixoto,33066296520,96.0,28/04/2044,viela nunes araguaia 84443-442 carvalho das flores / df,MG
Otávio Pires,72015063841,96.0,19/06/2046,"distrito da luz, 21 palmeiras 75160-253 ramos paulista / ap",PI
Isadora Aragão,52510096446,96.0,,,PA
Augusto Pinto,43898801741,96.0,02/12/2034,"fazenda azevedo, 5 carmo 91278-470 farias das flores / ba",GO
Dr. Felipe Da Luz,60556714140,84.0,26/12/1940,"vila gomes, 69 barão homem de melo 3ª seção 25827976 sales de porto / sp",PI
Augusto Duarte,57696099222,96.0,02/09/1903,"ladeira correia, 39 estrela do oriente 17171-237 campos de minas / rr",CE
Raquel Novaes,46262629737,96.0,26/07/2042,"rodovia barbosa, 25 paulo vi 23622783 lima / es",MG
Pietro Rodrigues,83171921978,82.0,12/12/1942,"trevo costa, 33 jardim américa 05080-841 carvalho / se",CE
Marcelo Campos,30184511478,96.0,,,DF
Dra. Fernanda Rodrigues,52819581555,96.0,24/07/2046,"favela novaes, 1 conjunto celso machado 55952-877 pinto da mata / pb",PB
Marcelo Da Conceição,79216405279,96.0,02/11/2042,"ladeira da luz, 5 buraco quente 95596-473 mendes / mg",MT
Anthony Moraes,43094486937,96.0,25/10/2046,"sítio sophie da conceição, 101 jardinópolis 38359-782 moraes da serra / mg",MA
Sra. Maria Da Costa,38346869053,96.0,08/07/2033,rodovia de cardoso maravilha 94220-489 melo / pi,AL
Sophia Oliveira,56988848948,96.0,05/06/2041,"lago oliveira, 364 manacas 94048483 da cunha / sc",RO
Sr. Theo Nascimento,84252818610,96.0,11/06/2030,"esplanada clara pereira, 33 aeroporto 94301-133 ramos verde / ac",PB
Carolina Novaes,64101703626,96.0,09/04/2039,"residencial de cunha, 56 paraíso 61685-637 caldeira alegre / ms",RN
Ana Beatriz Aragão,74969822528,96.0,23/09/2047,"fazenda novaes, 24 palmares 45920098 da mata / ms",TO
Erick Dias,29903750134,81.0,01/02/1944,"avenida de peixoto, 12 vila pinho 04464-241 da cruz do galho / am",PR
Pedro Henrique Fernandes,17472124964,109.0,02/12/1915,"estação de freitas, 48 tupi a 13999-346 farias de goiás / df",CE
Larissa Gomes,67065311420,96.0,04/01/2049,"aeroporto silva, 7 buraco quente 37792152 cunha do galho / mg",SP
João Gabriel Nogueira,99600405409,96.0,27/12/2042,"colônia de moraes, 7 monte azul 36749-732 silva de lopes / sc",AP
Melissa Souza,31951661266,96.0,26/09/1902,"loteamento moraes, 76 maria helena 53267886 oliveira do galho / pb",AM
Guilherme Porto,66828118748,98.0,04/05/1927,"passarela de pinto, 78 boa vista 97537-137 ramos / ro",CE
Vitor Hugo Rocha,45464274898,80.0,27/04/1945,"praia isabelly fernandes, 6 são lucas 70602762 farias do galho / ap",MT
Samuel Pinto,50629460403,96.0,15/08/2037,"ladeira nicolas almeida, 23 braúnas 78896-311 caldeira / ba",ES
Sra. Sophia Fogaça,53363897952,96.0,26/09/2042,feira da paz ouro minas 20735-892 freitas do sul / ro,TO
Nicolas Da Mota,59879388427,108.0,18/11/1916,"área davi caldeira, 41 barro preto 90316-960 pires / al",RS
Noah Da Cunha,45714221011,96.0,18/08/2037,"travessa fernando da costa, 8 nossa senhora de fátima 22281417 rezende / pb",PA
Francisco Melo,40706856691,96.0,13/07/2041,"praça de moreira, 50 rio branco 41409710 lima / pe",MT
Ana Sophia Ramos,74456665587,92.0,06/03/1933,"jardim raquel martins, 52 itapoa 31495674 sales da prata / se",MT
Maitê Barros,53979279269,96.0,10/04/2049,"área rebeca ferreira, 344 cidade jardim 18874-464 ramos / es",AM
Yuri Das Neves,51835795046,96.0,23/12/2028,"chácara de freitas, 7 concórdia 36025-387 araújo / ms",SE
Sr. Renan Silveira,34959527655,96.0,18/11/1900,"morro de vieira, 42 novo são lucas 89499814 nascimento de goiás / pi",PI
Sr. André Da Paz,58674793777,96.0,23/11/2038,"parque de barros, 3 são joão 52596-034 silveira das pedras / es",ES
Henrique Ramos,78241044000,95.0,05/07/1929,"vila vitória pires, 29 vila pinho 83563-442 moreira das pedras / rs",RN
João Santos,94517358458,79.0,09/09/1945,rua da conceição santa rita de cássia 28960-283 fogaça / ro,RO
Heitor Almeida,71651240985,87.0,03/06/1937,"vereda vitor hugo da conceição, 2 petropolis 48547174 da cruz da praia / ma",PI
Davi Lucca Santos,38322559210,96.0,08/12/2044,"feira de cardoso, 83 santa amelia 28565-486 silveira de azevedo / pb",PE
Maitê Moura,12826369238,96.0,19/09/2028,"trecho de da rosa, 16 vila nova gameleira 1ª seção 92001739 melo dos dourados / pe",MS
Beatriz Da Mota,95487398453,87.0,20/11/1937,"núcleo de silva, 9 flavio de oliveira 26538-605 monteiro / am",PR
Davi Luiz Cardoso,75848572058,96.0,14/11/2049,"aeroporto brenda novaes, 55 apolonia 20112791 campos / pi",TO
Emanuel Ramos,56407670245,96.0,10/02/2049,"chácara de nunes, 14 vila antena 77869877 costa de minas / ap",MT
Pietro Peixoto,54441208646,96.0,,,PB
Dra. Ana Beatriz Pires,59333073385,82.0,21/12/1942,"vale alves, 93 vila são gabriel 09344458 lima de melo / se",SC
Cauê Da Costa,77315966112,96.0,12/06/2025,lagoa nunes vila maloca 03767465 viana da praia / rs,SP
Murilo Correia,78978539524,96.0,18/05/2029,"sítio joão pedro silveira, 71 grotinha 94513-485 cardoso de minas / mt",SC
Isis Rodrigues,88196972347,96.0,10/09/2040,"ladeira davi aragão, 729 são sebastião 43710-310 alves / ce",RR
Srta. Luana Rezende,57007134398,97.0,02/06/1927,residencial joão felipe araújo diamante 01990-848 barros da mata / rn,MG
Juan Porto,87149515569,96.0,12/01/2037,"aeroporto de moraes, 702 santa rosa 78651-295 rodrigues / rj",TO
Stella Castro,89082892815,96.0,24/02/2032,"vereda de ribeiro, 44 jaqueline 33644343 nogueira grande / pi",SC
Stephany Correia,98943336139,77.0,12/01/1948,"ladeira de freitas, 7 beira linha 89999452 novaes do oeste / pi",PB
Lara Caldeira,31009267879,96.0,08/01/1902,via mariane cardoso alpes 45133128 costa de goiás / pb,RS
Cauê Barros,21134156419,80.0,28/10/1944,"trecho de moura, 61 vila real 1ª seção 29891-696 ribeiro / mg",PB
Sabrina Caldeira,60652186205,96.0,03/06/2029,"sítio melo, 2 vila jardim alvorada 69283-311 peixoto / rn",TO
Lara Dias,59965105310,96.0,,,SE
Davi Lucas Duarte,44315839752,96.0,27/08/2036,área de da cruz bairro das indústrias ii 41336-712 das neves de pinto / rn,AC
Maria Fernanda Da Mata,57802548943,96.0,12/02/2039,"trecho thiago azevedo, 23 frei leopoldo 23189942 viana de freitas / am",PR
Vitor Gabriel Ramos,39791606226,96.0,14/05/2044,"lago de martins, 91 vila são geraldo 66420017 santos / go",RR
Luiz Gustavo Peixoto,80990066216,96.0,26/11/1900,"ladeira da mata, 9 barreiro 19840-589 santos da serra / sp",TO
Ana Luiza Rocha,95415611250,96.0,11/06/2035,"aeroporto da conceição, 73 engenho nogueira 90663-977 pereira / rr",ES
Isabel Das Neves,47252532747,96.0,23/02/2031,"vereda de das neves, 88 boa união 2ª seção 72353328 jesus grande / pb",MG
Dr. Theo Campos,78641600903,96.0,27/06/2034,"sítio cardoso, 14 jardim guanabara 02275612 alves / pi",MS
Maysa Barros,62844810951,96.0,,,PA
Sr. Guilherme Rocha,34060667693,96.0,,,TO
Lucas Campos,53064201117,96.0,21/05/2040,"morro francisco silveira, 69 anchieta 56659487 oliveira da mata / ms",MA
Cecília Da Costa,41740611340,96.0,14/02/2036,"jardim caldeira, 920 nova suíça 43270-210 da rocha / to",AL
Isaac Dias,14164124905,100.0,01/05/1925,"loteamento nunes, 10 providencia 45238-773 da costa / mg",PE
Enzo Da Rosa,37533434219,96.0,10/01/2050,"morro teixeira, 40 vila independencia 1ª seção 28716832 nogueira paulista / rj",CE
Agatha Martins,54216822966,96.0,25/07/2045,"feira de vieira, 16 ouro minas 56659-912 moreira do oeste / ms",RJ
Eduarda Cardoso,75810410869,96.0,,,PR
Vitor Das Neves,84155845324,96.0,21/03/2048,"área de rodrigues, 13 marieta 3ª seção 41335-143 melo dos dourados / sp",RN
Arthur Martins,82995149514,79.0,17/08/1945,"via de gonçalves, 32 nova esperança 77139639 pires / ma",RN
Diego Almeida,47403704672,96.0,17/09/2038,fazenda de nascimento betânia 34908276 melo do campo / rj,SP
Beatriz Cardoso,20500614491,96.0,13/08/2049,"setor noah nogueira, 68 padre eustáquio 55266-215 campos paulista / pr",SP
Sr. Bruno Moreira,13666365586,96.0,24/02/2048,"campo yago barros, 7 santo andré 10639-446 peixoto das flores / se",PB
Arthur Ferreira,85738881010,92.0,15/05/1932,"ladeira de carvalho, 5 jardim leblon 28899-555 alves / rj",AL
Srta. Raquel Porto,23275190238,96.0,16/10/2026,"fazenda maria rezende, 836 beira linha 60619674 cunha / pb",MA
Isaac Souza,98242044181,89.0,06/04/1936,"ladeira bruna silva, 45 granja werneck 82075-956 silva de castro / ba",RN
Miguel Teixeira,95786615506,96.0,08/02/2031,"colônia yago barbosa, 58 vila petropolis 96842-716 martins / pe",GO
Heloísa Jesus,63342372741,101.0,15/05/1923,"praia pedro miguel castro, 79 heliopolis 95032644 pereira / es",PI
Elisa Cardoso,34550937083,96.0,16/03/2046,"aeroporto ana da conceição, 9 vila mangueiras 89115-775 das neves de nascimento / rn",RN
Srta. Ana Lívia Barros,30699847943,96.0,24/04/2035,conjunto agatha moraes cenaculo 29320-885 farias / mg,MS
Sr. Breno Da Mata,98585961387,96.0,,,DF
Ana Júlia Gomes,22342316906,96.0,11/05/2036,"morro monteiro, 83 marajó 17000-957 carvalho de da paz / pe",SC
João Pedro Da Costa,48356137629,96.0,,,GO
João Gabriel Novaes,55790140042,81.0,11/04/1944,"passarela ramos, 1 nazare 93723392 santos do norte / to",DF
Benício Caldeira,36789711456,96.0,02/12/2034,"loteamento de moura, 69 vila pinho 41051255 da rosa / ms",BA
Luiz Miguel Pereira,75086240242,96.0,15/09/1928,"via de da rosa, 69 são joão batista 11422-060 cunha / ro",MG
Luiz Felipe Rocha,25195896436,99.0,15/05/1925,"loteamento enzo gonçalves, 64 são damião 78815-861 barbosa de ramos / df",MG
Guilherme Castro,84520789711,96.0,10/12/2039,"rua ramos, 45 castelo 63598775 monteiro / rn",AM
Luna Da Cruz,24573207452,96.0,21/10/2031,"condomínio de nunes, 999 vila ecológica 55962181 moura / am",ES
Sr. Murilo Vieira,28261826751,96.0,,,PA
Ana Clara Nunes,59396747483,96.0,,,PB
Lorenzo Cunha,31379446416,92.0,24/09/1932,"vila ribeiro, 549 itaipu 36439998 viana da prata / ap",AP
João Miguel Martins,96012608765,96.0,16/08/2046,"vila de silva, 4 canadá 71082-819 da paz do norte / al",AC
Mariana Souza,72859241750,96.0,16/03/2048,"estrada de moura, 12 mangueiras 83775094 das neves da praia / go",PE
Cauã Da Rocha,31665599997,97.0,09/11/1927,estação raul sales santa margarida 94480-852 gonçalves das flores / to,RN
Pedro Lucas Pinto,63269543767,96.0,16/07/2026,"loteamento ribeiro, 894 santa branca 42032791 aragão / sp",CE
Vinicius Cavalcanti,43921352222,92.0,01/11/1932,"vale castro, 42 satelite 58678552 gomes dos dourados / sp",PR
Dr. Felipe Mendes,54155510605,96.0,16/09/2041,"fazenda de cardoso, 165 jardim leblon 26684-091 costela do campo / ms",AP
Luiz Otávio Peixoto,18423834835,96.0,25/04/2049,"viela cunha, 74 aparecida 7ª seção 39666-393 rezende / am",PI
Srta. Maria Vitória Gomes,39376814248,96.0,,,RO
