nome,cpf,data_nascimento,idade,endereco,estado,pais
Cauê Farias,86590659387,11/12/2030,105.0,"Viela de Oliveira, 8 Vila Coqueiral 72417-271 Barros / SC",AC,Brasil
Manuela Gomes,89314097072,05/11/1938,5.0,"Favela de Barros, 22 Conjunto Capitão Eduardo 66192-911 Caldeira / RS",PR,Brasil
Raquel Campos,68233879586,05/08/1938,116.0,"Via Vitória Farias, 9 Aguas Claras 45747-182 Araújo de Teixeira / MS",SC,Brasil
André Freitas,41220916392,27/10/2046,108.0,Ladeira Alexia Rodrigues Vila Madre Gertrudes 4ª Seção 76746-557 Jesus / PR,MS,Brasil
Maria Fernanda Araújo,97290672723,27/03/1917,112.0,"Praça Sophia Ramos, 24 Madri 74530520 Gonçalves Alegre / RO",MS,Brasil
Pietro Pinto,38156296570,25/02/2026,1.0,"Trevo Melo, 36 Horto Florestal 47544-245 Duarte / GO",AC,Brasil
Sophia Melo,16445068015,02/10/2029,2.0,"Colônia de Moura, 9 Vila Tirol 55038-862 da Costa da Serra / ES",MT,Brasil
Theo Mendes,99340105461,25/05/1903,6.0,"Condomínio Fernando Castro, 327 Conjunto Providencia 72234041 Martins de Goiás / SC",RJ,Brasil
Joana Peixoto,14388138250,08/03/2036,3.0,Esplanada Rodrigues Vila Madre Gertrudes 1ª Seção 76080706 Correia / DF,DF,Brasil
Thiago Lima,75312175224,17/12/1911,3.0,"Quadra de Rodrigues, 66 Diamante 58050703 Rocha do Campo / PB",CE,Brasil
Gabrielly Moreira,49737943019,27/10/1914,2.0,"Aeroporto da Luz, 15 Alpes 42400785 Farias do Amparo / DF",RO,Brasil
Dra. Emanuella Nogueira,53548027715,13/12/2040,11.0,"Trevo Pietra da Luz, 169 Candelaria 32468-169 Souza do Galho / PA",AM,Brasil
Caroline Rocha,19086540462,20/03/2044,9.0,"Vale Moraes, 43 Parque São Pedro 42987-282 Carvalho / RJ",BA,Brasil
Dra. Ana Clara da Luz,40575343803,09/02/2048,104.0,"Estrada de Ramos, 19 Nossa Senhora De Fátima 94308-161 da Rocha / ES",MS,Brasil
Sra. Ana Luiza Monteiro,65127112609,15/02/2040,11.0,"Vereda Alves, 908 Lorena 16565242 Fernandes Paulista / DF",PA,Brasil
Pietro da Mota,57149003663,11/08/2043,106.0,"Condomínio Rafael Lopes, 63 São Francisco Das Chagas 75392-642 Freitas de Goiás / TO",CE,Brasil
Marcelo da Costa,59069986318,,,,RR,Brasil
Gabriel Costela,43141246757,18/01/1909,114.0,"Praia Ramos, 2 Garças 24839-637 Fogaça / RS",MT,Brasil
Isabelly da Cunha,45336013273,04/12/1901,100.0,"Rodovia Freitas, 30 Bom Jesus 27659375 Jesus / ES",SE,Brasil
Catarina Fogaça,14178369402,12/04/2043,118.0,"Colônia de da Rocha, 51 Santa Lúcia 72607-931 Santos / SE",ES,Brasil
João Pedro Novaes,51023092350,03/07/1907,119.0,"Alameda Marcos Vinicius Gomes, 4 Vila Ouro Minas 79206-702 Freitas / AM",DF,Brasil
Alexia Martins,59836923177,24/04/2044,4.0,"Condomínio Sales, 424 São Jorge 3ª Seção 84573-479 da Luz / AM",CE,Brasil
Noah Alves,50856453825,22/04/1944,113.0,"Ladeira Martins, 57 Vila Nova Gameleira 3ª Seção 62818-166 Barros das Pedras / SC",AL,Brasil
Sr. Cauã Lopes,89899111454,,,,RR,Brasil
Luiza Alves,25086643346,28/03/1919,107.0,"Praça de Barbosa, 6 Jardim Dos Comerciarios 59739008 da Rosa / SC",SE,Brasil
Bernardo da Cruz,79676278763,03/01/1922,111.0,"Vale Caio Cardoso, 47 Horto 41485-591 Costela / AL",AC,Brasil
Danilo Farias,20810304009,04/03/2036,15.0,"Morro Azevedo, 31 Maravilha 31087088 Barbosa de Barros / PA",DF,Brasil
Thomas Oliveira,85279829045,08/02/1913,11.0,"Colônia de Lima, 8 Vila Santa Monica 1ª Seção 91876629 Ribeiro / PE",AM,Brasil
Mirella Costa,66015002664,16/03/1905,10.0,"Viela Guilherme Silva, 3 Novo São Lucas 08318788 Castro da Praia / SP",PI,Brasil
Camila Monteiro,58699045309,13/04/2029,109.0,"Trevo de Mendes, 68 Monsenhor Messias 03115505 Moraes de Silveira / ES",GO,Brasil
Alícia da Cruz,85381045310,17/08/1919,109.0,"Campo de Santos, 56 Vila Independencia 1ª Seção 49068-628 Monteiro do Campo / MG",AM,Brasil
Erick Sales,79960419531,11/10/1939,102.0,"Largo Santos, 6 Tirol 55064-281 Dias de da Rocha / RR",PI,Brasil
Joaquim Mendes,80157054712,,,,MA,Brasil
Cauã Cavalcanti,44153582535,28/07/2047,105.0,"Vila Danilo Moura, 853 Sagrada Família 65993603 Teixeira / AP",PA,Brasil
Vitor Hugo da Luz,14287268108,24/06/1916,6.0,"Núcleo de Lima, 164 Santa Isabel 46642-641 da Paz / GO",TO,Brasil
Nicole Farias,45429657400,13/03/2025,105.0,"Ladeira de Costa, 357 Vila São Francisco 67816-966 Silveira / SP",RS,Brasil
Dra. Luiza Moura,51472152265,19/06/2035,112.0,"Conjunto Ana Júlia Sales, 21 Gameleira 41529-183 Novaes de Mendes / AP",SP,Brasil
Igor Peixoto,77141854833,15/03/1926,3.0,"Campo Ian Almeida, 29 Califórnia 37236270 Pereira / MT",MA,Brasil
Camila Freitas,26234139544,18/01/2035,115.0,"Colônia Otávio Pires, 33 Vila Piratininga Venda Nova 53817-794 Gomes de Porto / MS",TO,Brasil
Stephany Correia,39572893407,09/06/1938,100.0,Condomínio Mendes Santa Rosa 39574-436 Vieira / PB,MA,Brasil
Emanuel Barros,55954082000,,,,AP,Brasil
Kaique Farias,68525701609,26/12/2047,9.0,Condomínio Moura Conjunto Providencia 09277337 da Luz / AC,RJ,Brasil
Sr. Pedro Henrique da Mata,61543977519,,,,AP,Brasil
Rafael Lopes,14056499692,17/02/2029,114.0,"Feira Jesus, 61 Novo Santa Cecilia 21966-062 Carvalho / DF",RR,Brasil
Sr. Raul Novaes,67720292901,16/04/2042,103.0,"Fazenda Lima, 3 Jardim Vitoria 11355-245 Rodrigues de Aragão / PA",MT,Brasil
Sra. Manuela Gonçalves,77208120672,02/04/2041,2.0,"Ladeira Maria Cardoso, 92 Colégio Batista 36168677 Melo de Mendes / CE",PA,Brasil
Emanuella da Cunha,84348030373,09/11/1934,102.0,"Vila Ramos, 4 São Jorge 2ª Seção 15975849 Peixoto / PB",MA,Brasil
Isabelly Gomes,68840610362,07/07/2038,105.0,"Via Heloísa Barbosa, 27 Jardinópolis 48915-699 Jesus das Flores / PE",AM,Brasil
Calebe Cardoso,11763489391,08/04/1928,6.0,"Avenida Augusto Santos, 84 Vila Tirol 87143720 Correia / SE",SP,Brasil
Pedro Lucas Mendes,46575145647,22/03/2044,9.0,"Vereda de Gonçalves, 82 Santa Amelia 39184588 Silva / RJ",PR,Brasil
Julia das Neves,65653471069,20/06/2040,115.0,"Largo Benício da Luz, 98 Canaa 56668-903 Carvalho / SC",BA,Brasil
Ian Mendes,31374864888,25/08/2034,110.0,"Estrada Oliveira, 201 Marieta 1ª Seção 06419-307 Gomes das Pedras / RN",MT,Brasil
Yago da Rosa,19839644240,12/10/2040,5.0,"Área Fernanda Rezende, 37 Havaí 96762481 da Cruz da Serra / BA",AP,Brasil
Marcos Vinicius Campos,56811518307,16/06/2025,101.0,"Rodovia de Jesus, 64 Ernesto Nascimento 65984-241 Nogueira / SE",MG,Brasil
Alícia da Rosa,27489112718,01/12/2036,5.0,"Lago de Barros, 3 Varzea Da Palma 78119-969 da Paz do Galho / PR",ES,Brasil
Sra. Marcela Almeida,91981652156,12/12/1905,0.0,"Largo de Caldeira, 86 Juliana 76256-885 Fernandes / PA",RJ,Brasil
Dr. Vitor Moura,27091942504,25/08/1921,112.0,"Área Silveira, 754 Confisco 53554-634 Ribeiro / AP",MG,Brasil
Maria Luiza Viana,25277186272,26/12/2025,100.0,"Viaduto de Caldeira, 30 Minas Brasil 66214-387 Duarte / AM",MT,Brasil
Nicolas Monteiro,59725668867,15/08/2044,0.0,"Condomínio de Melo, 759 Heliopolis 15339-897 da Paz Alegre / ES",SP,Brasil
Noah Pinto,48355376339,,,,RR,Brasil
Francisco Cardoso,92966693814,02/03/2028,115.0,"Rua Ana Luiza da Mota, 6 Alto Dos Pinheiros 56256-261 da Mata do Norte / SE",MA,Brasil
Davi Lucas Rezende,79781642118,,,,SC,Brasil
Natália Nogueira,44245708683,18/02/1919,100.0,Loteamento Nunes Zilah Sposito 25169823 da Mata de Minas / RJ,TO,Brasil
Lorena Dias,22972533029,03/05/1927,10.0,"Parque Emanuel Fogaça, 7 Colégio Batista 51391618 Silva do Oeste / TO",RJ,Brasil
Dr. Vitor Moura,84928221939,05/12/2026,105.0,"Largo Moraes, 1 Vila Pinho 29106656 Campos / MS",AM,Brasil
Maria Vitória Nunes,16243996385,06/05/2033,118.0,Estação Mendes Nossa Senhora Aparecida 33460571 Moraes do Oeste / AC,TO,Brasil
Luiz Otávio Barbosa,90446241275,,,,GO,Brasil
Gabriela Mendes,32667111608,,,,PB,Brasil
Pedro Miguel Barros,52426766056,05/11/2026,100.0,"Alameda Ana Vitória Rodrigues, 508 São José 06927-090 Azevedo / AP",RS,Brasil
Felipe Gomes,37762185783,05/11/2026,118.0,"Rodovia de da Rosa, 51 Aeroporto 85869-312 Viana / CE",PR,Brasil
Emanuelly Lima,91812764003,15/08/2048,100.0,"Campo Castro, 2 Barão Homem De Melo 1ª Seção 25365195 Cardoso do Amparo / CE",TO,Brasil
Caio Almeida,85434299523,25/08/2047,8.0,"Praia Moura, 20 Fernão Dias 31201-336 Ramos Grande / MT",ES,Brasil
Gabrielly Aragão,37237672328,22/10/2041,15.0,"Vale de Costela, 123 Vila Maloca 57139-559 Barbosa / CE",MG,Brasil
Eduardo Teixeira,22650522847,22/09/2041,120.0,Trecho Maria Sophia Almeida Milionario 12411-259 Aragão / RJ,RJ,Brasil
Gabrielly Rodrigues,26162590528,05/10/1947,103.0,"Área de Novaes, 284 Vila São Dimas 54567373 Martins do Campo / PB",TO,Brasil
Noah Viana,96053196855,12/02/2044,108.0,Lago Melo Vila São Dimas 49786805 Gonçalves de da Mota / PR,RN,Brasil
Nina Campos,34449877526,20/03/1922,119.0,Ladeira de Moreira Lourdes 94626-151 Cardoso / GO,ES,Brasil
Dr. Miguel Rodrigues,11317977095,07/05/1939,101.0,"Distrito de Souza, 1 Cidade Nova 44439-183 Cavalcanti Grande / RS",RN,Brasil
Sr. Vitor Hugo Azevedo,65821730972,16/07/2026,116.0,"Largo Yuri Rocha, 80 Vila São Gabriel Jacui 65743031 Silva / AL",SE,Brasil
Murilo Mendes,69384369101,22/11/2032,9.0,"Área Farias, 36 Nossa Senhora Aparecida 49841-451 Souza / MT",DF,Brasil
Samuel Moreira,11977633784,20/01/1912,8.0,Área Kamilly Novaes Esplanada 33327-271 Martins do Sul / PE,CE,Brasil
Lavínia Moraes,91847094142,07/11/2050,113.0,"Aeroporto Lima, 5 Cenaculo 55473-038 Cavalcanti do Sul / RO",TO,Brasil
Ana Laura Moreira,42375305441,26/12/1925,6.0,"Conjunto Castro, 33 Vila Batik 22703307 Campos / RJ",DF,Brasil
Emanuella Moura,53904114022,27/03/1946,114.0,"Vale de Costa, 189 Nova America 24535-349 Lima de Cavalcanti / SE",MA,Brasil
Calebe Costa,99532146370,02/07/2029,11.0,"Estrada Noah Moreira, 6 Vila Do Pombal 42807614 Azevedo / AC",PI,Brasil
Amanda Campos,68255057118,27/04/2048,110.0,"Praça de Silva, 99 Vila Nova 73787-956 da Paz / SC",BA,Brasil
Enzo Rezende,35018378980,03/05/1938,10.0,"Praça Stephany da Mota, 61 Maravilha 49408293 Castro do Galho / RS",RJ,Brasil
João Vitor Lopes,60382454382,19/02/1919,3.0,"Aeroporto de da Cruz, 9 Céu Azul 14619-105 Lima / SP",ES,Brasil
Ana Ribeiro,76131325251,18/08/1950,110.0,"Núcleo de Campos, 327 Vila Formosa 15486-086 Fogaça / SP",ES,Brasil
Enrico Lopes,19280189013,13/05/2045,3.0,"Feira Eloah Farias, 7 Vila Da Luz 38285-777 da Mota de Silva / GO",RN,Brasil
Sr. Vicente Peixoto,33066296520,28/04/2044,109.0,Viela Nunes Araguaia 84443-442 Carvalho das Flores / DF,MG,Brasil
Otávio Pires,72015063841,19/06/2046,112.0,"Distrito da Luz, 21 Palmeiras 75160-253 Ramos Paulista / AP",PI,Brasil
Isadora Aragão,52510096446,,,,PA,Brasil
Augusto Pinto,43898801741,02/12/2034,108.0,"Fazenda Azevedo, 5 Carmo 91278-470 Farias das Flores / BA",GO,Brasil
Dr. Felipe da Luz,60556714140,26/12/1940,2.0,"Vila Gomes, 69 Barão Homem De Melo 3ª Seção 25827976 Sales de Porto / SP",PI,Brasil
Augusto Duarte,57696099222,02/09/1903,109.0,"Ladeira Correia, 39 Estrela Do Oriente 17171-237 Campos de Minas / RR",CE,Brasil
Raquel Novaes,46262629737,26/07/2042,13.0,"Rodovia Barbosa, 25 Paulo Vi 23622783 Lima / ES",MG,Brasil
Pietro Rodrigues,83171921978,12/12/1942,12.0,"Trevo Costa, 33 Jardim América 05080-841 Carvalho / SE",CE,Brasil
Marcelo Campos,30184511478,,,,DF,Brasil
Dra. Fernanda Rodrigues,52819581555,24/07/2046,105.0,"Favela Novaes, 1 Conjunto Celso Machado 55952-877 Pinto da Mata / PB",PB,Brasil
Elisa da Cruz,80933641419,03/05/1909,108.0,"Quadra Souza, 54 São Paulo 86303-690 Freitas / RJ",AL,Brasil
Marcelo da Conceição,79216405279,02/11/2042,120.0,"Ladeira da Luz, 5 Buraco Quente 95596-473 Mendes / MG",MT,Brasil
Anthony Moraes,43094486937,25/10/2046,0.0,"Sítio Sophie da Conceição, 101 Jardinópolis 38359-782 Moraes da Serra / MG",MA,Brasil
Sra. Maria da Costa,38346869053,08/07/2033,120.0,Rodovia de Cardoso Maravilha 94220-489 Melo / PI,AL,Brasil
Sra. Bruna Mendes,15513735260,17/07/1905,116.0,"Rodovia Bianca Duarte, 2 Vila Madre Gertrudes 1ª Seção 64191-208 Cardoso da Praia / PB",ES,Brasil
Sophia Oliveira,56988848948,05/06/2041,14.0,"Lago Oliveira, 364 Manacas 94048483 da Cunha / SC",RO,Brasil
Sr. Theo Nascimento,84252818610,11/06/2030,115.0,"Esplanada Clara Pereira, 33 Aeroporto 94301-133 Ramos Verde / AC",PB,Brasil
Carolina Novaes,64101703626,09/04/2039,14.0,"Residencial de Cunha, 56 Paraíso 61685-637 Caldeira Alegre / MS",RN,Brasil
Ana Beatriz Aragão,74969822528,23/09/2047,108.0,"Fazenda Novaes, 24 Palmares 45920098 da Mata / MS",TO,Brasil
Erick Dias,29903750134,01/02/1944,116.0,"Avenida de Peixoto, 12 Vila Pinho 04464-241 da Cruz do Galho / AM",PR,Brasil
Pedro Henrique Fernandes,17472124964,02/12/1915,108.0,"Estação de Freitas, 48 Tupi A 13999-346 Farias de Goiás / DF",CE,Brasil
Larissa Gomes,67065311420,04/01/2049,5.0,"Aeroporto Silva, 7 Buraco Quente 37792152 Cunha do Galho / MG",SP,Brasil
João Gabriel Nogueira,99600405409,27/12/2042,107.0,"Colônia de Moraes, 7 Monte Azul 36749-732 Silva de Lopes / SC",AP,Brasil
Melissa Souza,31951661266,26/09/1902,111.0,"Loteamento Moraes, 76 Maria Helena 53267886 Oliveira do Galho / PB",AM,Brasil
Guilherme Porto,66828118748,04/05/1927,3.0,"Passarela de Pinto, 78 Boa Vista 97537-137 Ramos / RO",CE,Brasil
Vitor Hugo Rocha,45464274898,27/04/1945,108.0,"Praia Isabelly Fernandes, 6 São Lucas 70602762 Farias do Galho / AP",MT,Brasil
Samuel Pinto,50629460403,15/08/2037,9.0,"Ladeira Nicolas Almeida, 23 Braúnas 78896-311 Caldeira / BA",ES,Brasil
Sra. Sophia Fogaça,53363897952,26/09/2042,3.0,Feira da Paz Ouro Minas 20735-892 Freitas do Sul / RO,TO,Brasil
Nicolas da Mota,59879388427,18/11/1916,103.0,"Área Davi Caldeira, 41 Barro Preto 90316-960 Pires / AL",RS,Brasil
Noah da Cunha,45714221011,18/08/2037,109.0,"Travessa Fernando da Costa, 8 Nossa Senhora De Fátima 22281417 Rezende / PB",PA,Brasil
Francisco Melo,40706856691,13/07/2041,116.0,"Praça de Moreira, 50 Rio Branco 41409710 Lima / PE",MT,Brasil
Clarice Ribeiro,82532446453,22/12/1906,112.0,"Trevo Helena Santos, 83 Maria Virgínia 55275-585 Castro do Campo / PE",BA,Brasil
Ana Sophia Ramos,74456665587,06/03/1933,6.0,"Jardim Raquel Martins, 52 Itapoa 31495674 Sales da Prata / SE",MT,Brasil
Maitê Barros,53979279269,10/04/2049,7.0,"Área Rebeca Ferreira, 344 Cidade Jardim 18874-464 Ramos / ES",AM,Brasil
Yuri das Neves,51835795046,23/12/2028,14.0,"Chácara de Freitas, 7 Concórdia 36025-387 Araújo / MS",SE,Brasil
Sr. Renan Silveira,34959527655,18/11/1900,105.0,"Morro de Vieira, 42 Novo São Lucas 89499814 Nascimento de Goiás / PI",PI,Brasil
Sr. André da Paz,58674793777,23/11/2038,12.0,"Parque de Barros, 3 São João 52596-034 Silveira das Pedras / ES",ES,Brasil
Henrique Ramos,78241044000,05/07/1929,108.0,"Vila Vitória Pires, 29 Vila Pinho 83563-442 Moreira das Pedras / RS",RN,Brasil
João Santos,94517358458,09/09/1945,103.0,Rua da Conceição Santa Rita De Cássia 28960-283 Fogaça / RO,RO,Brasil
Heitor Almeida,71651240985,03/06/1937,4.0,"Vereda Vitor Hugo da Conceição, 2 Petropolis 48547174 da Cruz da Praia / MA",PI,Brasil
Davi Lucca Santos,38322559210,08/12/2044,4.0,"Feira de Cardoso, 83 Santa Amelia 28565-486 Silveira de Azevedo / PB",PE,Brasil
Maitê Moura,12826369238,19/09/2028,104.0,"Trecho de da Rosa, 16 Vila Nova Gameleira 1ª Seção 92001739 Melo dos Dourados / PE",MS,Brasil
Beatriz da Mota,95487398453,20/11/1937,101.0,"Núcleo de Silva, 9 Flavio De Oliveira 26538-605 Monteiro / AM",PR,Brasil
Davi Luiz Cardoso,75848572058,14/11/2049,110.0,"Aeroporto Brenda Novaes, 55 Apolonia 20112791 Campos / PI",TO,Brasil
Emanuel Ramos,56407670245,10/02/2049,113.0,"Chácara de Nunes, 14 Vila Antena 77869877 Costa de Minas / AP",MT,Brasil
Pietro Peixoto,54441208646,,,,PB,Brasil
Dra. Ana Beatriz Pires,59333073385,21/12/1942,3.0,"Vale Alves, 93 Vila São Gabriel 09344458 Lima de Melo / SE",SC,Brasil
Juan Melo,92876829145,20/09/1912,105.0,"Trevo Arthur Duarte, 55 Vila Formosa 69833914 da Cruz de Fogaça / RR",AM,Brasil
